user,item,rating,time
756,2997,5,975453788
756,589,5,975453647
756,593,5,975453172
756,260,3,975453560
756,1894,2,975453172
756,290,5,975453380
756,1127,5,975453671
756,457,2,975453619
756,608,4,975453395
756,1185,3,975453197
756,1196,4,975453580
756,1198,5,975453560
756,1387,5,975453580
756,858,5,975453350
756,1394,3,975453749
756,1721,3,975453197
756,2529,5,975453619
756,3361,4,975453172
756,3362,5,975453749
756,2571,1,975453619
756,2599,3,975453788
756,1951,5,975453172
756,3702,5,975453596
756,352,2,975453197
756,1036,5,975453596
756,1200,5,975453596
756,2947,3,975453580
756,2948,3,975453619
756,2949,3,975453619
756,1214,5,975453560
756,2019,3,975453560
756,1221,5,975453364
756,2028,4,975453580
756,1233,4,975453560
756,1240,5,975453580
757,2987,3,975527277
757,1249,4,975561998
757,2989,4,975453644
757,3791,2,975458080
757,2990,3,975453644
757,3793,4,975453236
757,2054,3,975454096
757,2058,3,975562057
757,1258,4,975527366
757,1259,4,975454481
757,587,4,975454712
757,588,3,975542887
757,589,5,975453315
757,1,3,975454506
757,2,3,975454037
757,5,3,975455424
757,3005,4,975452680
757,3006,4,975457341
757,2060,2,975455596
757,1407,4,975527414
757,1408,4,975561826
757,1265,4,975454370
757,733,4,975562072
757,736,3,975454081
757,592,4,975453593
757,593,5,975452473
757,597,3,975455102
757,1416,4,975458743
757,1270,5,975454344
757,1271,3,975457967
757,742,2,975527665
757,1278,5,975452494
757,3020,3,975458281
757,1422,3,975543077
757,2081,3,975542898
757,1425,4,975454798
757,1282,4,975542850
757,3033,4,975454901
757,2231,4,975456547
757,1431,2,975455485
757,3039,4,975454585
757,2093,3,975453129
757,1291,5,975453577
757,904,4,975561952
757,1438,3,975562408
757,2096,3,975542873
757,762,2,975455546
757,919,5,975453824
757,778,2,975457354
757,924,3,975457371
757,1459,3,975543059
757,780,4,975543265
757,784,3,975455474
757,786,3,975562258
757,788,3,975454978
757,2405,3,975453698
757,2406,3,975453593
757,1461,2,975455572
757,1608,3,975562258
757,2268,5,975456103
757,1466,3,975456566
757,2269,2,975458928
757,1468,4,975455102
757,799,3,975454585
757,1610,4,975562019
757,2413,4,975455342
757,2414,4,975453675
757,3219,3,975453055
757,1616,3,975561903
757,2273,3,975562243
757,1617,4,975453429
757,2278,3,975456066
757,1476,4,975454830
757,2279,2,975527639
757,1479,3,975562330
757,2420,3,975452473
757,2421,3,975453698
757,2422,2,975453795
757,1620,4,975456582
757,2423,3,975454776
757,3081,4,975453154
757,3082,3,975562138
757,2280,3,975456647
757,2427,2,975457776
757,1625,4,975452494
757,2428,3,975452890
757,1627,2,975456647
757,3087,4,975454918
757,1485,3,975454918
757,1487,3,975542949
757,2431,2,975455068
757,2433,4,975452775
757,3238,1,975452890
757,2296,2,975455807
757,1499,3,975562419
757,1644,2,975527591
757,3249,4,975562277
757,2447,3,975455102
757,1645,1,975456604
757,3252,3,975458132
757,3255,3,975454653
757,3256,4,975562090
757,3257,3,975458850
757,2605,3,975452890
757,2606,3,975452975
757,3409,3,975452927
757,3263,4,975454999
757,1805,4,975456582
757,3264,4,975455190
757,2463,4,975454666
757,1810,4,975458248
757,2615,3,975543315
757,2616,3,975456668
757,2470,4,975454787
757,2617,4,975454004
757,2471,3,975454161
757,1672,3,975457967
757,1673,4,975457512
757,2476,3,975453675
757,1674,4,975457449
757,2478,3,975455241
757,1676,3,975454023
757,208,3,975454131
757,3421,4,975454391
757,2628,3,975453941
757,1682,4,975457549
757,1686,4,975456668
757,216,3,975455424
757,1687,2,975562330
757,1689,3,975455166
757,1831,2,975543362
757,1833,2,975458600
757,3438,3,975527212
757,2490,3,975453079
757,3439,2,975527232
757,1693,4,975457821
757,225,4,975458600
757,2640,4,975453961
757,2641,3,975453698
757,2642,2,975453736
757,2643,1,975453795
757,1841,2,975458132
757,3448,4,975454621
757,231,3,975455230
757,2803,3,975562292
757,2804,4,975454357
757,2805,3,975455138
757,3608,3,975454370
757,2806,2,975453201
757,253,4,975458194
757,256,2,975543341
757,2672,2,975453201
757,3478,3,975458182
757,1876,3,975458638
757,260,5,975453295
757,2827,2,975452655
757,410,3,975455265
757,2683,3,975452655
757,1882,3,975543374
757,1883,3,975454653
757,3489,2,975454081
757,2688,3,975452927
757,3638,3,975543276
757,2836,1,975455208
757,420,2,975455515
757,2694,3,975452680
757,1892,4,975543047
757,1894,3,975454114
757,3499,4,975527401
757,2699,3,975454978
757,288,2,975562243
757,2840,2,975453154
757,1101,4,975453644
757,2841,3,975453154
757,435,2,975543362
757,436,3,975458665
757,292,3,975458292
757,293,4,975456083
